English,Marathi
position,स्थिती
player,खेळाडू
agree,सहमत
especially,विशेषतः
record,विक्रम
pick,निवडा
wear,परिधान
paper,कागद
special,विशेष
space,जागा
ground,जमीन
form,फॉर्म
support,समर्थन
event,कार्यक्रम
official,अधिकृत
whose,ज्याचे
matter,बाब
everyone,प्रत्येकजण
center,केंद्र
couple,जोडी
site,जागा
end,शेवट
project,प्रकल्प
hit,दाबा
base,पाया
activity,क्रियाकलाप
star,तारा
table,टेबल
need,गरज
court,न्यायालय
produce,उत्पादन
eat,खाणे
American,अमेरिकन
teach,शिकवणे
oil,तेल
half,अर्धा
situation,परिस्थिती
easy,सोपे
cost,खर्च
industry,उद्योग
figure,आकृती
face,चेहरा
street,रस्ता
image,प्रतिमा
itself,स्वतः
phone,फोन
either,एकतर
data,डेटा
cover,कव्हर
quite,अगदी
picture,चित्र
clear,स्पष्ट
practice,सराव
piece,तुकडा
land,जमीन
recent,अलीकडील
describe,वर्णन करणे
product,उत्पादन
doctor,डॉक्टर
wall,भिंत
patient,रुग्ण
worker,कामगार
news,बातम्या
test,चाचणी
movie,चित्रपट
certain,निश्चित
north,उत्तर
love,प्रेम
personal,वैयक्तिक
open,उघडा
support,समर्थन
simply,फक्त
third,तिसऱ्या
technology,तंत्रज्ञान
catch,झेल
step,पाऊल
baby,बाळ
computer,संगणक
type,प्रकार
attention,लक्ष
draw,काढणे
film,चित्रपट
Republican,रिपब्लिकन
tree,झाड
source,स्रोत
red,लाल
nearly,जवळजवळ
organization,संस्था
choose,निवडा
cause,कारण
hair,केस
look,दिसत
point,बिंदू
century,शतक
evidence,पुरावा
window,खिडकी
difficult,अवघड
listen,ऐका
soon,लवकरच
culture,संस्कृती
billion,अब्ज
chance,संधी
brother,भाऊ
energy,ऊर्जा
period,कालावधी
course,अभ्यासक्रम
summer,उन्हाळा
less,कमी
realize,जाणीव
hundred,शंभर
available,उपलब्ध
plant,वनस्पती
likely,शक्यता
opportunity,संधी
term,मुदत
short,लहान
letter,पत्र
condition,अट
choice,निवड
place,जागा
single,अविवाहित
rule,नियम
daughter,मुलगी
administration,प्रशासन
south,दक्षिण
husband,नवरा
Congress,काँग्रेस
floor,मजला
campaign,मोहीम
material,साहित्य
population,लोकसंख्या
well,चांगले
call,कॉल
economy,अर्थव्यवस्था
medical,वैद्यकीय
hospital,रुग्णालय
church,चर्च
close,बंद
thousand,हजार
risk,धोका
current,वर्तमान
fire,आग
future,भविष्य
wrong,चुकीचे
involve,गुंतवणे
defense,संरक्षण
anyone,कोणीही
increase,वाढ
security,सुरक्षा
bank,बँक
myself,स्वतः
certainly,नक्कीच
west,पश्चिम
sport,खेळ
board,बोर्ड
seek,शोधणे
per,प्रति
subject,विषय
officer,अधिकारी
private,खाजगी
rest,उर्वरित
behavior,वर्तन
deal,करार
performance,कामगिरी
fight,लढा
throw,फेकणे
top,शीर्ष
quickly,पटकन
past,भूतकाळ
goal,ध्येय
second,दुसरा
bed,पलंग
order,ऑर्डर
author,लेखक
fill,भरा
represent,प्रतिनिधित्व करा
focus,लक्ष केंद्रित
foreign,परदेशी
drop,थेंब
plan,योजना
blood,रक्त
upon,वर
agency,एजन्सी
push,ढकलणे
nature,निसर्ग
color,रंग
no,नाही
recently,अलीकडे
store,स्टोअर
reduce,कमी करणे
sound,आवाज
note,नोंद
fine,ठीक
before,आधी
near,जवळ
movement,हालचाल
page,पृष्ठ
enter,प्रविष्ट करा
share,शेअर
than,पेक्षा
common,सामान्य
poor,गरीब
other,इतर
natural,नैसर्गिक
race,शर्यत
concern,चिंता
series,मालिका
significant,लक्षणीय
similar,समान
hot,गरम
language,इंग्रजी
each,प्रत्येक
usually,सहसा
response,प्रतिसाद
dead,मृत
rise,उदय
animal,प्राणी
factor,घटक
decade,दशक
article,लेख
shoot,शूट
east,पूर्व
save,जतन करा
seven,सात
artist,कलाकार
away,लांब
scene,देखावा
stock,साठा
career,करिअर
despite,असूनही
central,मध्यवर्ती
eight,आठ
thus,अशा प्रकारे
treatment,उपचार
beyond,पलीकडे
happy,आनंदी
exactly,नक्की
protect,संरक्षण
approach,दृष्टीकोन
lie,खोटे बोलणे
size,आकार
dog,कुत्रा
fund,निधी
serious,गंभीर
occur,घडणे
media,मीडिया
ready,तयार
sign,चिन्ह
thought,विचार
list,यादी
individual,वैयक्तिक
simple,सोपे
quality,गुणवत्ता
pressure,दबाव
accept,स्वीकारा
answer,उत्तर
hard,कठीण
resource,संसाधन
identify,ओळखणे
left,बाकी
meeting,बैठक
determine,ठरवणे
prepare,तयार करणे
disease,आजार
whatever,जे काही
success,यश
argue,वाद घालणे
cup,कप
particularly,विशेषतः
amount,रक्कम
ability,क्षमता
staff,कर्मचारी
recognize,ओळखणे
indicate,सूचित करा
character,वर्ण
growth,वाढ
loss,तोटा
degree,पदवी
wonder,आश्चर्य
attack,हल्ला
herself,स्वतःला
region,प्रदेश
television,दूरदर्शन
box,बॉक्स
TV,टीव्ही
training,प्रशिक्षण
pretty,सुंदर
trade,व्यापार
deal,करार
election,निवडणूक
everybody,प्रत्येकजण
physical,शारीरिक
lay,घालणे
general,सामान्य
feeling,भावना
standard,मानक
bill,बिल
message,संदेश
fail,अपयशी
outside,बाहेर
arrive,पोहोचणे
analysis,विश्लेषण
benefit,फायदा
name,नाव
sex,लिंग
forward,पुढे
lawyer,वकील
present,उपस्थित
section,विभाग
environmental,पर्यावरणविषयक
glass,काच
answer,उत्तर
skill,कौशल्य
sister,बहीण
PM,पीएम
professor,प्राध्यापक
operation,ऑपरेशन
financial,आर्थिक
crime,गुन्हा
stage,स्टेज
ok,ठीक आहे
compare,तुलना करा
authority,अधिकार
miss,चुकणे
design,डिझाइन
sort,क्रमवारी लावा
one,एक
act,कृती
ten,दहा
knowledge,ज्ञान
gun,बंदूक
station,स्टेशन
blue,निळा
state,राज्य
strategy,धोरण
little,थोडे
clearly,स्पष्टपणे
discuss,चर्चा
indeed,खरंच
force,सक्ती
truth,सत्य
song,गाणे
example,उदाहरण
democratic,लोकशाही
check,तपासा
environment,वातावरण
leg,पाय
dark,गडद
public,सार्वजनिक
various,विविध
rather,त्याऐवजी
laugh,हसणे
guess,अंदाज
executive,कार्यकारी
set,सेट
study,अभ्यास
prove,सिद्ध करणे
hang,फाशी देणे
entire,संपूर्ण
rock,खडक
design,डिझाइन
enough,पुरेसा
forget,विसरणे
since,पासून
claim,दावा
note,नोंद
remove,काढा
manager,व्यवस्थापक
help,मदत
close,बंद
sound,आवाज
enjoy,आनंद घ्या
network,नेटवर्क
legal,कायदेशीर
religious,धार्मिक
cold,थंड
form,फॉर्म
final,अंतिम
main,मुख्य
science,विज्ञान
green,हिरवा
memory,स्मृती
card,कार्ड
above,वर
seat,आसन
cell,सेल
establish,स्थापन करणे
nice,छान
trial,चाचणी
expert,तज्ञ
that,ते
spring,वसंत ऋतू
firm,टणक
Democrat,लोकशाहीवादी
radio,रेडिओ
visit,भेट
management,व्यवस्थापन
care,काळजी
avoid,टाळा
imagine,कल्पना करा
tonight,आज रात्री
huge,प्रचंड
ball,चेंडू
no,नाही
close,बंद
finish,समाप्त
yourself,तू स्वतः
talk,बोलणे
theory,सिद्धांत
impact,प्रभाव
respond,प्रतिसाद
statement,विधान
maintain,राखणे
charge,शुल्क
popular,लोकप्रिय
traditional,पारंपारिक
onto,वर
reveal,प्रकट करणे
direction,दिशा
weapon,शस्त्र
employee,कर्मचारी
cultural,सांस्कृतिक
contain,समाविष्ट
peace,शांतता
head,डोके
control,नियंत्रण
base,पाया
pain,वेदना
apply,लागू करा
play,खेळणे
measure,मोजमाप
wide,रुंद
shake,शेक
fly,उडणे
interview,मुलाखत
manage,व्यवस्थापित करा
chair,खुर्ची
fish,मासे
particular,विशिष्ट
camera,कॅमेरा
structure,रचना
politics,राजकारण
perform,पार पाडणे
bit,बिट
weight,वजन
suddenly,अचानक
discover,शोधा
candidate,उमेदवार
top,शीर्ष
production,उत्पादन
treat,उपचार
trip,सहल
evening,संध्याकाळ
affect,प्रभावित
inside,आत
conference,परिषद
unit,युनिट
best,सर्वोत्तम
style,शैली
adult,प्रौढ
worry,काळजी
range,श्रेणी
mention,उल्लेख
rather,त्याऐवजी
far,दूर
deep,खोल
past,भूतकाळ
edge,धार
individual,वैयक्तिक
specific,विशिष्ट
writer,लेखक
trouble,त्रास
necessary,आवश्यक
throughout,संपूर्ण
challenge,आव्हान
fear,भीती
shoulder,खांदा
institution,संस्था
middle,मधला
sea,समुद्र
dream,स्वप्न
bar,बार
beautiful,सुंदर
property,मालमत्ता
instead,त्याऐवजी
improve,सुधारणे
stuff,सामान
detail,तपशील
method,पद्धत
sign,चिन्ह
somebody,कोणीतरी
magazine,मासिक
hotel,हॉटेल
soldier,शिपाई
reflect,प्रतिबिंबित करा
heavy,जड
sexual,लैंगिक
cause,कारण
bag,पिशवी
heat,उष्णता
fall,पडणे
marriage,लग्न
tough,कठीण
sing,गाणे
surface,पृष्ठभाग
purpose,उद्देश
exist,अस्तित्वात आहे
pattern,नमुना
whom,ज्या
skin,त्वचा
agent,एजंट
owner,मालक
machine,मशीन
gas,गॅस
down,खाली
ahead,पुढे
generation,पिढी
commercial,व्यावसायिक
address,पत्ता
cancer,कर्करोग
test,चाचणी
item,आयटम
reality,वास्तव
coach,प्रशिक्षक
step,पाऊल
Mrs,सौ
yard,यार्ड
beat,मारणे
violence,हिंसा
total,एकूण
tend,कल
investment,गुंतवणूक
discussion,चर्चा
finger,बोट
garden,बाग
notice,सूचना
collection,संकलन
modern,आधुनिक
task,कार्य
partner,भागीदार
positive,सकारात्मक
civil,नागरी
kitchen,स्वयंपाकघर
consumer,ग्राहक
shot,शॉट
budget,बजेट
wish,इच्छा
painting,चित्रकला
scientist,शास्त्रज्ञ
safe,सुरक्षित
agreement,करार
capital,भांडवल
mouth,तोंड
nor,किंवा
victim,बळी
newspaper,वृत्तपत्र
instead,त्याऐवजी
threat,धमकी
responsibility,जबाबदारी
smile,स्मित
attorney,वकील
score,धावसंख्या
account,खाते
interesting,मनोरंजक
break,खंडित
audience,प्रेक्षक
rich,श्रीमंत
dinner,रात्रीचे जेवण
figure,आकृती
vote,मत
western,पश्चिम
relate,संबंधित
travel,प्रवास
debate,वादविवाद
prevent,प्रतिबंध
citizen,नागरिक
majority,बहुमत
none,काहीही नाही
front,समोर
born,जन्म
admit,कबूल करा
senior,वरिष्ठ
assume,गृहीत धरणे
wind,वारा
key,की
professional,व्यावसायिक
mission,मिशन
fast,जलद
alone,एकटा
customer,ग्राहक
suffer,त्रास
speech,भाषण
successful,यशस्वी
option,पर्याय
participant,सहभागी
southern,दक्षिणेकडील
fresh,ताजे
eventually,अखेरीस
no,नाही
forest,वन
video,व्हिडिओ
global,जागतिक
Senate,सिनेट
reform,सुधारणा
access,प्रवेश
restaurant,उपहारगृह
judge,न्यायाधीश
publish,प्रकाशित करा
cost,खर्च
relation,संबंध
like,जसे
release,सोडणे
own,स्वतःचे
bird,पक्षी
opinion,मत
credit,क्रेडिट
critical,गंभीर
corner,कोपरा
concerned,संबंधित
recall,आठवणे
version,आवृत्ती
stare,टक लावून पाहणे
safety,सुरक्षितता
effective,प्रभावी
neighborhood,शेजार
original,मूळ
act,कृती
troop,दल
income,उत्पन्न
directly,थेट
hurt,दुखापत
species,प्रजाती
immediately,लगेच
track,ट्रॅक
basic,मूलभूत
strike,संप
hope,आशा
sky,आकाश
freedom,स्वातंत्र्य
absolutely,पूर्णपणे
plane,विमान
nobody,कोणीही नाही
achieve,साध्य करणे
object,वस्तू
attitude,वृत्ती
labor,श्रम
refer,पहा
concept,संकल्पना
client,ग्राहक
powerful,शक्तिशाली
perfect,परिपूर्ण
nine,नऊ
therefore,म्हणून
conduct,आचरण
announce,घोषणा करा
conversation,संभाषण
examine,परीक्षण
touch,स्पर्श
please,कृपया
attend,उपस्थित राहणे
completely,पूर्णपणे
vote,मत
variety,विविधता
sleep,झोप
turn,वळण
involved,सहभागी
investigation,तपास
nuclear,आण्विक
researcher,संशोधक
press,दाबा
conflict,संघर्ष
spirit,आत्मा
experience,अनुभव
replace,बदला
British,ब्रिटीश
encourage,प्रोत्साहित करा
argument,युक्तिवाद
by,द्वारे
once,एकदा
camp,शिबिर
brain,मेंदू
feature,वैशिष्ट्य
afternoon,दुपारी
AM,आहे
weekend,शनिवार व रविवार
dozen,डझन
possibility,शक्यता
along,बाजूने
insurance,विमा
department,विभाग
battle,लढाई
beginning,सुरुवात
date,तारीख
generally,साधारणपणे
African,आफ्रिकन
very,खूप
sorry,क्षमस्व
crisis,संकट
complete,पूर्ण
fan,पंखा
stick,काठी
define,परिभाषित
easily,सहज
through,माध्यमातून
hole,छिद्र
element,घटक
vision,दृष्टी
status,स्थिती
normal,सामान्य
Chinese,चिनी
ship,जहाज
solution,उपाय
stone,दगड
slowly,हळूहळू
scale,स्केल
bit,बिट
university,विद्यापीठ
introduce,परिचय
driver,चालक
attempt,प्रयत्न
park,पार्क
spot,स्पॉट
lack,अभाव
ice,बर्फ
boat,बोट
drink,पेय
sun,सूर्य
front,समोर
distance,अंतर
wood,लाकूड
handle,हाताळणे
truck,ट्रक
return,परत
mountain,डोंगर
survey,सर्वेक्षण
supposed,गृहीत
tradition,परंपरा
winter,हिवाळा
village,गाव
Soviet,सोव्हिएत
refuse,नकार
sales,विक्री
roll,रोल
communication,संवाद
run,धावणे
screen,स्क्रीन
gain,मिळवणे
resident,रहिवासी
hide,लपवा
gold,सोने
club,क्लब
future,भविष्य
farm,शेत
potential,संभाव्य
increase,वाढ
middle,मधला
European,युरोपियन
presence,उपस्थिती
independent,स्वतंत्र
district,जिल्हा
shape,आकार
reader,वाचक
Ms,कु
contract,करार
crowd,गर्दी
Christian,ख्रिश्चन
express,व्यक्त
apartment,अपार्टमेंट
willing,इच्छुक
strength,शक्ती
previous,मागील
band,बँड
obviously,स्पष्टपणे
horse,घोडा
interested,स्वारस्य
target,लक्ष्य
prison,तुरुंग
ride,सवारी
guard,रक्षक
terms,अटी
demand,मागणी
reporter,पत्रकार
deliver,वितरित करणे
text,मजकूर
share,शेअर
tool,साधन
wild,जंगली
vehicle,वाहन
observe,निरीक्षण
flight,उड्डाण
inside,आत
facility,सुविधा
understanding,समज
average,सरासरी
emerge,उदयास येणे
advantage,फायदा
quick,जलद
light,प्रकाश
leadership,नेतृत्व
earn,कमवा
pound,पौंड
basis,आधार
bright,तेजस्वी
operate,ऑपरेट
guest,अतिथी
sample,नमुना
contribute,योगदान
tiny,लहान
block,ब्लॉक
protection,संरक्षण
settle,ठरविणे
feed,अन्न देणे
collect,गोळा करणे
additional,अतिरिक्त
while,असताना
highly,अत्यंत
identity,ओळख
title,शीर्षक
mostly,बहुतेक
lesson,धडा
faith,विश्वास
river,नदी
promote,प्रोत्साहन
living,जगणे
present,उपस्थित
count,मोजणे
unless,जोपर्यंत
marry,लग्न करा
tomorrow,उद्या
technique,तंत्र
path,मार्ग
ear,कान
shop,दुकान
folk,लोक
order,ऑर्डर
principle,तत्त्व
survive,जगणे
lift,लिफ्ट
border,सीमा
competition,स्पर्धा
jump,उडी
gather,गोळा
limit,मर्यादा
fit,फिट
claim,दावा
cry,रडणे
equipment,उपकरणे
worth,किमतीची
associate,सहयोगी
critic,समीक्षक
warm,उबदार
aspect,पैलू
result,परिणाम
insist,आग्रह धरणे
failure,अपयश
annual,वार्षिक
French,फ्रेंच
Christmas,ख्रिसमस
comment,टिप्पणी
responsible,जबाबदार
affair,प्रकरण
approach,दृष्टीकोन
until,पर्यंत
procedure,प्रक्रिया
regular,नियमित
spread,प्रसार
chairman,अध्यक्ष
baseball,बेसबॉल
soft,मऊ
ignore,दुर्लक्ष करा
egg,अंडी
measure,मोजमाप
belief,विश्वास
demonstrate,प्रात्यक्षिक
anybody,कोणीही
murder,खून
gift,भेट
religion,धर्म
review,पुनरावलोकन
editor,संपादक
past,भूतकाळ
engage,गुंतणे
coffee,कॉफी
document,दस्तऐवज
speed,गती
cross,फुली
influence,प्रभाव
anyway,असो
threaten,धमकी देणे
commit,वचनबद्ध
female,स्त्री
youth,तरुण
wave,लाट
move,हलवा
afraid,भीती
quarter,तिमाहीत
background,पार्श्वभूमी
native,मुळ
broad,व्यापक
wonderful,अद्भुत
deny,नाकारणे
apparently,वरवर पाहता
slightly,किंचित
reaction,प्रतिक्रिया
twice,दोनदा
suit,सूट
perspective,दृष्टीकोन
growing,वाढत आहे
blow,फुंकणे
construction,बांधकाम
kind,दयाळू
intelligence,बुद्धिमत्ता
destroy,नष्ट करणे
cook,कूक
connection,कनेक्शन
charge,शुल्क
burn,जाळणे
shoe,बूट
view,दृश्य
grade,ग्रेड
context,संदर्भ
committee,समिती
hey,अहो
mistake,चूक
focus,लक्ष केंद्रित
smile,स्मित
location,स्थान
clothes,कपडे
Indian,भारतीय
quiet,शांत
dress,ड्रेस
promise,वचन
aware,जाणीव
neighbor,शेजारी
complete,पूर्ण
drive,ड्राइव्ह
function,कार्य
bone,हाड
active,सक्रिय
extend,वाढवणे
chief,प्रमुख
average,सरासरी
combine,एकत्र
wine,वाइन
below,खाली
cool,थंड
voter,मतदार
mean,अर्थ
demand,मागणी
learning,शिकणे
bus,बस
hell,नरक
dangerous,धोकादायक
remind,आठवण करून द्या
moral,नैतिक
United,संयुक्त
category,श्रेणी
relatively,तुलनेने
victory,विजय
key,की
academic,शैक्षणिक
visit,भेट
Internet,इंटरनेट
healthy,निरोगी
fire,आग
negative,नकारात्मक
following,खालील
historical,ऐतिहासिक
medicine,औषध
tour,फेरफटका
depend,अवलंबून
photo,छायाचित्र
finding,शोधणे
grab,झडप घालणे
direct,थेट
classroom,वर्ग
contact,संपर्क
justice,न्याय
participate,सहभागी होणे
daily,दररोज
fair,योग्य
pair,जोडी
famous,प्रसिद्ध
exercise,व्यायाम
knee,गुडघा
flower,फूल
tape,टेप
hire,भाड्याने
familiar,परिचित
appropriate,योग्य
supply,पुरवठा
fully,पूर्णपणे
cut,कट
will,इच्छा
actor,अभिनेता
birth,जन्म
search,शोध
tie,बांधणे
democracy,लोकशाही
eastern,पूर्वेकडील
primary,प्राथमिक
yesterday,काल
circle,वर्तुळ
device,डिव्हाइस
progress,प्रगती
next,पुढे
front,समोर
bottom,तळाशी
island,बेट
exchange,देवाणघेवाण
clean,स्वच्छ
studio,स्टुडिओ
train,ट्रेन
lady,बाई
colleague,सहकारी
application,अर्ज
neck,मान
lean,दुबळा
damage,नुकसान
plastic,प्लास्टिक
tall,उंच
plate,प्लेट
hate,द्वेष
otherwise,अन्यथा
writing,लेखन
press,दाबा
male,पुरुष
start,प्रारंभ
alive,जिवंत
expression,अभिव्यक्ती
football,फुटबॉल
intend,हेतू
attack,हल्ला
chicken,चिकन
army,सैन्य
abuse,गैरवर्तन
theater,थिएटर
shut,बंद
map,नकाशा
extra,अतिरिक्त
session,सत्र
danger,धोका
welcome,स्वागत
domestic,घरगुती
lots,बरेच
literature,साहित्य
rain,पाऊस
desire,इच्छा
assessment,मूल्यांकन
injury,इजा
respect,आदर
northern,उत्तर
nod,होकार
paint,रंग
fuel,इंधन
leaf,पान
direct,थेट
dry,कोरडे
Russian,रशियन
instruction,सूचना
fight,लढा
pool,पूल
climb,चढणे
sweet,गोड
lead,आघाडी
engine,इंजिन
fourth,चौथा
salt,मीठ
expand,विस्तृत करा
importance,महत्त्व
metal,धातू
fat,चरबी
ticket,तिकीट
software,सॉफ्टवेअर
disappear,अदृश्य
corporate,कॉर्पोरेट
strange,विचित्र
lip,ओठ
reading,वाचन
urban,शहरी
mental,वेडा
increasingly,वाढत्या
lunch,दुपारचे जेवण
educational,शैक्षणिक
somewhere,कुठेतरी
farmer,शेतकरी
above,वर
sugar,साखर
planet,ग्रह
favorite,आवडते
explore,अन्वेषण
obtain,मिळवणे
enemy,शत्रू
greatest,महान
complex,जटिल
surround,घेरणे
athlete,धावपटू
invite,आमंत्रित करा
